entrez,teff_AAVS1_324,teff_AAVS1_348,teff_AAVS1_400,teff_Double_324,teff_Double_348,teff_Double_400,teff_HIVEP2_324,teff_HIVEP2_348,teff_HIVEP2_400,teff_SATB1_324,teff_SATB1_348,teff_SATB1_400,treg_AAVS1_324,treg_AAVS1_348,treg_AAVS1_400,treg_Double_324,treg_Double_348,treg_Double_400,treg_HIVEP2_324,treg_HIVEP2_348,treg_HIVEP2_400,treg_SATB1_324,treg_SATB1_348,treg_SATB1_400
146923,0.0,3.0,10.0,1.0,2.0,5.0,2.0,1.0,6.0,7.0,1.0,12.0,5.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,6.0,6.0,2.0,2.0
100129792,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0
107075244,0.0,1.0,2.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.004,0.0,0.0
169436,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0
2869,1.0,3.0,11.0,7.0,2.0,4.0,4.0,8.0,7.0,0.0,2.0,5.0,1.0,1.0,5.0,1.0,3.0,9.0,6.0,3.0,3.0,7.0,4.0,2.0
55253,7.0,4.0,7.0,5.955,2.0,8.0,8.0,3.0,11.0,0.0,2.0,7.613,4.0,0.0,2.937,6.0,3.0,6.0,2.0,6.0,8.0,3.0,2.0,0.0
25853,2.0,3.0,6.0,8.0,7.0,8.0,2.0,1.0,10.0,7.0,7.0,2.0,1.0,6.0,6.0,2.0,3.0,4.0,4.0,4.0,4.0,6.0,4.0,2.0
57713,2.0,2.0,1.0,4.0,5.0,4.0,3.0,2.0,11.0,4.0,1.0,4.0,1.0,2.0,5.0,5.0,1.0,5.0,11.0,3.0,9.0,1.0,1.0,0.0
142689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150771,5.0,9.0,9.0,11.0,13.0,17.0,5.0,21.0,15.0,6.0,14.0,15.0,4.0,13.0,9.0,7.0,7.0,14.0,4.0,13.0,8.0,8.0,5.0,6.0
4538,594.0,1769.803,2350.369,1076.856,1611.564,2407.642,833.907,1928.812,2771.604,604.971,1906.895,1376.816,624.957,427.987,1358.044,502.935,1001.922,791.934,841.968,975.975,1357.906,674.542,429.961,1298.0
23137,12.0,17.0,15.0,13.0,8.0,22.0,10.0,11.0,17.0,9.0,6.0,11.0,15.0,7.0,9.0,16.0,10.0,10.0,16.0,14.0,22.0,9.0,7.0,20.0
4535,86.0,572.0,562.971,179.0,441.611,490.0,155.008,583.189,601.0,81.0,496.0,253.0,505.0,196.971,364.0,138.0,379.0,235.0,334.492,346.0,294.0,194.0,208.0,419.0
139170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55170,1.0,2.0,1.0,0.0,2.0,6.0,3.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,7.0,1.0,1.0,0.0
149345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85457,5.0,2.0,3.0,4.0,1.0,4.0,6.0,0.0,5.0,0.0,2.0,6.0,4.0,3.0,2.0,3.0,3.0,2.0,6.0,5.0,7.0,9.0,0.0,4.0
830,24.0,39.0,38.0,32.997,23.0,47.971,31.0,34.0,47.025,21.0,36.0,35.0,24.0,22.0,35.0,19.0,34.0,32.0,41.999,43.0,60.997,35.0,27.0,34.0
4508,166.733,571.144,772.689,375.2,508.138,903.463,253.778,617.433,865.612,191.191,550.293,440.396,196.003,183.026,328.354,169.72,355.467,328.734,271.892,376.042,386.059,230.123,175.584,503.383
7150,9.0,13.0,20.0,8.0,12.0,16.0,6.0,8.0,24.0,12.0,9.0,16.0,6.0,7.0,10.0,5.0,15.0,17.0,14.0,13.0,23.0,9.0,6.0,16.0
9055,2.0,8.0,13.749,15.0,5.0,8.835,5.0,8.0,6.468,6.388,6.001,9.734,3.0,5.761,10.0,4.0,3.0,6.0,2.0,10.0,5.0,5.0,8.0,0.0
80823,2.0,4.0,2.0,6.0,6.0,5.0,4.0,1.0,2.0,5.0,2.0,0.0,4.0,0.0,4.0,4.0,2.0,4.0,4.0,9.0,9.0,3.0,2.0,2.0
4215,5.0,5.0,14.0,14.0,14.0,9.0,19.0,7.0,18.0,8.0,15.0,10.0,13.0,9.0,11.0,1.0,9.0,23.0,17.0,12.0,9.0,20.0,7.0,13.0
3897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6721,6.0,7.0,10.0,6.0,9.0,10.0,10.0,9.0,19.0,11.0,5.0,13.0,9.0,4.0,6.0,8.0,10.0,6.0,15.0,13.0,12.0,6.0,3.0,7.0
339448,27.0,31.0,45.0,37.0,19.0,30.0,28.0,26.0,49.0,52.0,27.0,43.0,17.0,37.0,31.0,12.0,25.0,22.0,23.0,67.0,33.0,23.928,26.0,34.0
5455,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0
221002,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
51490,29.833,73.622,121.675,54.406,98.707,215.669,54.467,81.622,161.232,12.0,80.729,80.0,53.62,82.0,85.835,67.835,94.0,153.409,115.076,153.516,112.087,62.835,68.729,78.514
6170,64.21,54.578,96.569,91.246,72.198,130.732,64.941,65.202,128.917,99.717,62.691,87.193,54.528,37.979,100.03,62.255,64.974,72.35,98.115,71.066,70.743,91.978,43.793,108.902
9666,0.0,0.0,7.0,1.0,1.0,2.0,4.0,3.0,6.0,1.0,5.0,4.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,3.0,4.0,9.0,0.0,3.0
9851,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0
9937,1.0,0.0,1.0,2.0,3.0,5.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
79065,2.0,4.0,4.0,0.0,1.0,0.0,4.0,4.114,0.0,3.0,4.0,2.0,0.0,0.0,0.0,3.0,5.0,4.0,6.0,6.0,1.0,0.0,5.0,3.0
9722,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
158511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,15.0,21.0,21.0,20.0,10.0,34.999,16.999,22.0,32.001,15.001,19.0,17.999,6.0,19.0,24.999,18.0,17.0,17.0,17.0,36.0,21.0,20.0,18.0,13.0
9737,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
9755,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
57692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154467,1.0,8.0,7.0,5.0,5.0,7.0,1.0,7.0,6.0,3.0,3.0,4.0,1.0,4.0,3.0,6.0,5.0,5.0,1.0,5.0,7.0,1.0,3.0,3.0
4514,272.0,1139.0,1495.0,528.976,1214.531,1403.509,402.0,1291.0,1486.726,224.0,1204.0,773.0,483.0,612.309,795.678,493.649,795.0,891.676,584.0,1058.699,850.0,474.0,603.317,690.0
80108,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,4.0
134548,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84456,2.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0
1756,2.0,8.0,9.0,6.0,1.0,6.0,9.0,6.0,13.0,1.0,7.0,4.0,4.0,0.0,16.0,1.0,1.0,7.0,4.0,3.0,9.0,0.0,6.0,7.0
9848,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
4668,3.0,10.0,15.0,5.0,2.0,7.0,5.0,11.0,13.0,2.0,5.0,7.0,2.0,3.0,4.0,6.0,7.0,5.0,4.0,7.0,4.0,7.0,3.0,3.0
23381,2.0,5.0,6.0,2.0,2.0,4.0,3.0,3.0,7.0,2.0,4.0,9.0,5.0,0.0,3.0,6.0,5.0,4.0,6.0,3.0,4.0,3.0,2.0,1.0
26128,4.0,2.0,10.0,9.0,6.0,6.0,6.0,6.0,7.0,4.0,7.0,2.0,6.0,5.0,4.0,2.0,3.0,2.0,4.0,7.0,3.0,4.0,6.0,2.0
7052,0.0,5.0,5.0,1.0,4.0,0.0,1.0,0.0,2.0,1.0,2.0,4.0,8.0,0.0,6.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,2.0
54470,3.0,0.0,1.0,1.0,1.0,2.596,0.0,0.0,0.0,4.0,0.0,1.586,5.0,0.0,1.0,1.351,0.0,4.0,1.0,2.0,2.0,0.0,0.0,2.0
9867,5.0,5.0,15.0,13.0,2.0,6.0,13.0,7.0,9.0,15.0,7.0,17.0,7.0,2.0,7.0,11.0,8.0,8.0,5.0,12.0,14.0,4.0,4.0,11.0
6096,2.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
259230,4.0,2.0,4.0,3.0,1.0,4.0,10.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,5.0,2.0,8.0,5.0,0.0,2.0,6.0,3.0,1.0,1.0
343406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128368,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
